id;name;start_date;customer;project_type
1;contextually-based Alaska Fresh;2022-04-05T04:23:18;parsing;ODC
2;Illinois Center;2022-04-04T23:39:28;Kansas Garden;FIXEDPRICE
3;Total USB e-services;2022-04-04T22:47:57;Senior redefine Keyboard;TNM
4;Guadeloupe digital;2022-04-04T20:07:46;Berkshire Tools portals;FIXEDPRICE
5;Licensed Beauty ROI;2022-04-05T12:21:36;invoice neural;FIXEDPRICE
6;Corners Buckinghamshire Keyboard;2022-04-05T11:23:37;Kwacha Tennessee;ODC
7;Multi-lateral;2022-04-04T18:14:17;magenta;TNM
8;firewall ADP International;2022-04-04T22:09:52;Interactions;ODC
9;application;2022-04-05T07:02:32;Account Concrete program;FIXEDPRICE
10;index actuating Corporate;2022-04-04T21:06:18;Central Mouse;ODC
