id;name;start_date;customer;project_type;project_status
1;contextually-based Alaska Fresh;2022-04-05T04:10:28;parsing;ODC;INACTIVE
2;Assimilated Soft;2022-04-05T09:37:30;Garden Concrete;ODC;INACTIVE
3;e-services synthesize;2022-04-05T15:05:51;redefine Keyboard;TNM;ACTIVE
4;world-class gold;2022-04-05T01:02:57;vortals revolutionary;TNM;ACTIVE
5;bypassing;2022-04-04T17:55:44;Buckinghamshire;FIXEDPRICE;ACTIVE
6;Prairie;2022-04-05T15:22:46;copying Central payment;ODC;ACTIVE
7;Research Optional;2022-04-05T03:41:47;Tennessee Direct Radial;FIXEDPRICE;ACTIVE
8;Optional firewall ADP;2022-04-04T19:35:08;South Interactions back-end;FIXEDPRICE;ACTIVE
9;calculate back-end;2022-04-05T09:12:42;USB input port;FIXEDPRICE;INACTIVE
10;Refined;2022-04-04T19:29:46;digital parsing;ODC;INACTIVE
